latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-80.5,-29.25,metamorphic,metaplutonic,3042.894655,4.591936575,0.451375711,0.000148338
-80.5,-29.25,metamorphic,metaplutonic,3048.410412,4.591553469,0.139122032,0.0000456
-80.5,-29.25,metamorphic,metaplutonic,3053.151631,4.590900057,0.409337838,0.000134071
-80.5,-29.25,metamorphic,metaplutonic,3066.069839,4.593045654,0.046781997,0.0000153
-80.5,-29.25,metamorphic,metaplutonic,3067.206955,4.591512116,0.143391643,0.0000467
-80.5,-29.25,metamorphic,metaplutonic,3083.804064,4.589338854,0.397505334,0.000128901
-80.5,-29.25,metamorphic,metaplutonic,3098.006088,4.592667085,0.077492794,0.000025
-80.5,-29.25,metamorphic,metaplutonic,3100.056547,4.59274433,0.240347014,0.0000775
-80.5,-29.25,metamorphic,metaplutonic,3111.755522,4.592675615,0.12056405,0.0000387
-80.5,-29.25,metamorphic,metaplutonic,3114.005789,4.592260031,0.204115759,0.0000655
-80.5,-29.25,metamorphic,metaplutonic,3114.635376,4.593048778,0.195136116,0.0000627
-80.5,-29.25,metamorphic,metaplutonic,3117.650029,4.594157731,0.065783995,0.0000211
-80.5,-29.25,metamorphic,metaplutonic,3126.758575,4.592555749,0.158572618,0.0000507
-80.5,-29.25,metamorphic,metaplutonic,3130.059055,4.59296539,0.237648188,0.0000759
-80.5,-29.25,metamorphic,metaplutonic,3132.689178,4.593022729,0.141044449,0.000045
-80.5,-29.25,metamorphic,metaplutonic,3142.251578,4.593199304,0.958296356,0.000304971
-80.5,-29.25,metamorphic,metaplutonic,3143.989033,4.593246342,0.207349217,0.000066
-80.5,-29.25,metamorphic,metaplutonic,3147.644217,4.593309373,0.161884639,0.0000514
-80.5,-29.25,metamorphic,metaplutonic,3180.510545,4.595526264,0.07869667,0.0000247
-80.5,-29.25,metamorphic,metaplutonic,3195.623652,4.595884347,0.039794665,0.0000125
-80.5,-29.25,metamorphic,metaplutonic,3215.775692,4.596511647,0.074370721,0.0000231
-80.5,-29.25,metamorphic,metaplutonic,3316.475385,4.597466076,0.053983341,0.0000163
-80.5,-25,metamorphic,metaplutonic,2880.733415,4.589758024,0.520444508,0.000180664
-80.478603,156.371273,igneous,plutonic,2718.897546,4.587275374,2.903356538,0.001067843
-80.478603,156.371273,igneous,plutonic,2985.339816,4.592017715,0.728036933,0.000243871
-80.473355,156.14803,igneous,plutonic,2661.975634,4.586957482,2.981837587,0.00112016
-80.452398,156.320963,igneous,plutonic,2689.171709,4.586914949,0.795694827,0.000295888
-80.452398,156.320963,igneous,plutonic,2889.995136,4.588534575,0.489896467,0.000169515
-80.452398,156.320963,igneous,plutonic,2919.57434,4.589072965,0.582072631,0.000199369
-80.449296,156.730319,igneous,plutonic,2736.112087,4.587215698,1.759708199,0.000643142
-80.442028,156.239198,igneous,plutonic,2735.392764,4.587236631,1.437022002,0.000525344
-80.442028,156.239198,igneous,plutonic,2886.420079,4.588327043,0.444566733,0.00015402
-80.442028,156.239198,not defined,not defined,2917.736585,4.588463663,0.34015428,0.000116582
-80.441553,156.243973,igneous,plutonic,2647.187979,4.587017403,2.355928166,0.000889974
-80.441553,156.243973,igneous,plutonic,2765.766981,4.587540837,0.73916988,0.000267257
-80.418003,156.290648,igneous,plutonic,2633.799468,4.586930423,2.228457952,0.0008461
-80.418003,156.290648,igneous,plutonic,2682.799838,4.5871732,1.725500995,0.000643172
-80.048576,159.447689,igneous,plutonic,2658.966452,4.587074722,1.749453928,0.000657945
-79.930975,158.791216,metamorphic,metaplutonic,2648.116259,4.587041023,0.612633792,0.000231347
-79.930975,158.791216,igneous,plutonic,2914.294738,4.58921419,0.398525013,0.000136748
-79.923788,158.344153,igneous,plutonic,2665.643022,4.586910893,1.32142332,0.000495724
-79.92348,158.340797,igneous,plutonic,2881.174704,4.589157178,0.667762212,0.000231767
-79.923451,158.325494,metamorphic,metaplutonic,2728.551927,4.587457005,1.536255113,0.000563029
-79.922307,158.693861,metamorphic,metaplutonic,2766.244531,4.587365895,0.665619262,0.000240622
-79.922307,158.693861,igneous,plutonic,2882.029387,4.588655337,0.393926626,0.000136684
-79.899049,159.130576,metamorphic,metaplutonic,2716.927888,4.586983977,1.384823118,0.000509702
-79.899049,159.130576,igneous,plutonic,2885.272112,4.58886303,0.486538424,0.000168628
-79.874171,159.043669,igneous,plutonic,2638.348391,4.586916307,0.765412648,0.000290111
-79.874118,159.040168,metamorphic,metaplutonic,2720.192974,4.587020826,0.770439057,0.00028323
-79.874118,159.040168,igneous,plutonic,2898.346327,4.588898698,0.847251964,0.000292323
-79.862415,158.975594,igneous,plutonic,2903.675367,4.589172543,0.348984833,0.000120187
-79.862415,158.975594,igneous,plutonic,2909.597246,4.589196655,0.544128455,0.000187012
-79.862415,158.975594,igneous,plutonic,2913.83436,4.589217099,0.137661622,0.0000472
-79.861938,158.983948,igneous,plutonic,2891.325445,4.589472814,0.37494791,0.00012968
-79.81685056,158.3867254,metamorphic,metaplutonic,2940.892317,4.589000683,0.392281883,0.000133389
-79.81234059,158.4320325,igneous,plutonic,2893.971474,4.590253799,2.546220418,0.000879836
-79.81234059,158.4320325,igneous,plutonic,2926.02636,4.590170566,2.050157413,0.000700663
-79.80808114,158.3707148,metamorphic,metaplutonic,2869.476374,4.589296754,1.264283951,0.000440597
-79.79649112,158.5096363,igneous,plutonic,2612.629504,4.586942275,2.888836004,0.00110572
-79.79649112,158.5096363,igneous,plutonic,2613.659622,4.586865907,1.862466481,0.00071259
-79.79649112,158.5096363,igneous,plutonic,2621.28796,4.586871988,1.508916521,0.000575639
-79.79649112,158.5096363,igneous,plutonic,2622.017982,4.586871039,2.456800048,0.000936988
-79.79649112,158.5096363,igneous,plutonic,2627.889463,4.586846684,1.511163466,0.000575048
-79.79649112,158.5096363,igneous,plutonic,2627.966178,4.586919934,2.545820773,0.000968742
-79.79649112,158.5096363,igneous,plutonic,2628.492987,4.5870107,2.481475958,0.000944068
-79.79649112,158.5096363,igneous,plutonic,2632.37587,4.586914726,2.628583616,0.000998559
-79.79649112,158.5096363,igneous,plutonic,2636.704317,4.586902349,2.333977519,0.000885187
