X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
-469169.3832,-779595.6346,SIPL,-148.96,-81.64,10,4,27,28,30.80699921,0.99487156,3.806999207,3.503505896,0.283964574,0.39859816,29,0,34.95600128,24.95599937,7.347000122
-472360.0215,-781497.4042,SDM,-148.85,-81.61,1,4,27,28,30.80699921,1.009133731,3.806999207,3.495214216,0.288718708,0.407957828,30,0,35.01100159,25.01099968,7.313600063
-302341.5869,-410536.0176,FALL,-143.63,-85.31,4,4,24,33,33.07799911,8.720117288,9.077999115,4.314286891,2.021218688,1.991084491,31,0,34.43500137,24.43499947,7.350299835
-603229.0088,-772097.922,OND,-142,-81,1,4,29,29,32.26399994,-0.072521384,3.263999939,3.94196805,-0.018397253,-0.00431436,32,0,33.47499847,23.47500038,7.702600002
-854394.2674,-1087693.252,CLRK,-141.85,-77.32,2,4,29,30,32.54499817,0.631088591,3.544998169,4.287725633,0.147184929,0.239560157,33,0,38.1570015,28.15699959,6.395500183
-573166.7428,-602094.7605,STC,-136.41,-82.36,1,4,31,27,29.29700089,-3.924461345,1.702999115,4.101712093,-0.956786156,-0.990645174,34,0,34.49100113,24.49099922,7.430600166
-770300.5866,-770031.7479,ISDE,-134.99,-80,1,4,29,29,30.68400002,0.175272624,1.684000015,4.02972429,0.043494942,0.073409552,35,0,34.66199875,24.66200066,7.444399834
-952553.8378,-922444.3496,ST14,-134.08,-77.84,2,4,27,29,31.12400055,2.298573181,4.124000549,3.79832854,0.605153861,0.694942681,36,0,37.92300034,27.92300034,6.80670023
-1031532.024,-881322.9893,ST13,-130.51,-77.56,4,4,30,27,31.51600075,-3.217249774,1.516000748,3.720278103,-0.864787439,-0.902842857,38,0,37.13499832,27.13500023,7.214700222
-991528.6102,-838500.0925,MBL,-130.22,-78.09,1,4,25,28,30.00699997,2.646104638,5.006999969,3.798249071,0.696664329,0.750974806,40,0,36.10699844,26.10700035,7.451700211
-1191234.95,-990739.6501,ST10,-129.75,-75.81,2,4,28,26,37.24200058,-2.30343209,9.24200058,3.95791208,-0.581981621,-0.667734747,41,0,37.45899963,27.45899963,7.031799793
-1150955.429,-914527.7564,ST09,-128.47,-76.53,2,4,30,25,32.29999924,-4.594355818,2.299999237,3.738997018,-1.228766912,-1.393359233,43,0,37.99900055,27.99900055,7.10739994
-1136315.004,-824672.4831,SILY,-125.97,-77.13,2,4,31,25,31.16399956,-6.397207091,0.163999557,3.754429297,-1.703909325,-1.765661441,45,0,43.76499939,33.76499939,4.998600006
