X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
1281284.383,2296106.554,,0,0,0,13,15.18599987,0,0,0,0,0,0,0,0,0,23.27300072,13.27299976,15.18599987
1037867.23,2169106.3,,0,0,0,13,16.32500076,0,0,0,0,0,0,0,0,0,24.90699959,14.90699959,16.32500076
794450.0762,2401940.099,,0,0,0,13,13.62699986,0,0,0,0,0,0,0,0,0,22.94300079,12.94299984,13.62699986
-930636.7073,1576438.448,,0,0,0,13,14.48499966,0,0,0,0,0,0,0,0,0,26.32799911,16.32799911,14.48499966
-1269304.051,1534105.03,,0,0,0,13,16.81900024,0,0,0,0,0,0,0,0,0,24.95599937,14.95600033,16.81900024
-1555054.623,1417688.13,,0,0,0,13,15.3409996,0,0,0,0,0,0,0,0,0,26.63500023,16.63500023,15.3409996
-1872555.258,1502354.966,,0,0,0,13,16.48600006,0,0,0,0,0,0,0,0,0,26.41900063,16.41900063,16.48600006
-2115972.411,1851605.665,,0,0,0,13,12.03999996,0,0,0,0,0,0,0,0,0,24.80999947,14.81000042,12.03999996
-1639721.459,1968022.564,,0,0,0,13,12.95300007,0,0,0,0,0,0,0,0,0,23.17399979,13.17399979,12.95300007
-848487.1647,325230.3905,,0,0,0,11,32.95,0,0,0,0,0,0,0,0,0,32.95,22.95,7.921899796
-2868075.08,-2071253.929,,0,0,0,13,10.78800011,0,0,0,0,0,0,0,0,0,0,0,10.78800011
-2915700.175,-3039630.866,,0,0,0,13,11.58100033,0,0,0,0,0,0,0,0,0,0,0,11.58100033
-2074323.492,-3198381.184,,0,0,0,13,9.999099731,0,0,0,0,0,0,0,0,0,0,0,9.999099731
-1820322.984,-2372879.533,,0,0,0,13,11.64999962,0,0,0,0,0,0,0,0,0,0,0,11.64999962
-1074196.492,-3119006.025,,0,0,0,13,10.27400017,0,0,0,0,0,0,0,0,0,0,0,10.27400017
-851946.0475,-2531629.85,,0,0,0,13,10.81599998,0,0,0,0,0,0,0,0,0,0,0,10.81599998
-296319.9363,-3150756.088,,0,0,0,13,11.13399982,0,0,0,0,0,0,0,0,0,0,0,11.13399982
-2074323.492,-1690253.167,,0,0,0,13,11.86699963,0,0,0,0,0,0,0,0,0,0,0,11.86699963
-2995075.334,-1309252.405,,0,0,0,13,12.29399967,0,0,0,0,0,0,0,0,0,0,0,12.29399967
-2995075.334,214750.6427,,0,0,0,13,12.23099995,0,0,0,0,0,0,0,0,0,0,0,12.23099995
-3137950.62,1024377.262,,0,0,0,13,11.04599953,0,0,0,0,0,0,0,0,0,0,0,11.04599953
-2690274.724,989452.1921,,0,0,0,13,11.59899998,0,0,0,0,0,0,0,0,0,0,0,11.59899998
-2568566.147,873035.2926,,0,0,0,13,11.89900017,0,0,0,0,0,0,0,0,0,0,0,11.89900017
-2727316.465,1132327.478,,0,0,0,13,11.3579998,0,0,0,0,0,0,0,0,0,0,0,11.3579998
-1816618.81,2720536.21,,0,0,0,13,10.14900017,0,0,0,0,0,0,0,0,0,0,0,10.14900017
-1194846.733,2773452.982,,0,0,0,13,12.40299988,0,0,0,0,0,0,0,0,0,0,0,12.40299988
-202657.249,3051266.038,,0,0,0,13,13.17199993,0,0,0,0,0,0,0,0,0,0,0,13.17199993
551406.7592,2971890.879,,0,0,0,13,12.03800011,0,0,0,0,0,0,0,0,0,0,0,12.03800011
1279012.381,2958661.686,,0,0,0,13,13.02700043,0,0,0,0,0,0,0,0,0,0,0,13.02700043
2072763.969,3011578.459,,0,0,0,13,12.68700027,0,0,0,0,0,0,0,0,0,0,0,12.68700027
2601931.694,2998349.265,,0,0,0,13,11.45100021,0,0,0,0,0,0,0,0,0,0,0,11.45100021
3131099.419,3117412.004,,0,0,0,13,11.62100029,0,0,0,0,0,0,0,0,0,0,0,11.62100029
3051724.26,2191368.485,,0,0,0,13,12.87100029,0,0,0,0,0,0,0,0,0,0,0,12.87100029
2615160.887,-2343598.918,,0,0,0,13,11.93200016,0,0,0,0,0,0,0,0,0,0,0,11.93200016
688990.3677,-3169100.569,,0,0,0,13,11.52700043,0,0,0,0,0,0,0,0,0,0,0,11.52700043
1472158.601,-3296100.823,,0,0,0,13,10.33500004,0,0,0,0,0,0,0,0,0,0,0,10.33500004
2657494.305,-3211433.987,,0,0,0,13,10.46000004,0,0,0,0,0,0,0,0,0,0,0,10.46000004
3165495.321,-3253767.405,,0,0,0,13,10.54199982,0,0,0,0,0,0,0,0,0,0,0,10.54199982
3207828.739,-2110765.119,,0,0,0,13,11.88199997,0,0,0,0,0,0,0,0,0,0,0,11.88199997
3250162.157,-734929.0345,,0,0,0,13,12.25699997,0,0,0,0,0,0,0,0,0,0,0,12.25699997
3207828.739,69405.90753,,0,0,0,13,13.26799965,0,0,0,0,0,0,0,0,0,0,0,13.26799965
3184545.359,829290.7606,,0,0,0,13,10.24699974,0,0,0,0,0,0,0,0,0,0,0,10.24699974
3152795.295,1337291.777,,0,0,0,13,13.79699993,0,0,0,0,0,0,0,0,0,0,0,13.79699993
2898794.787,1829417.761,,0,0,0,13,13.07199955,0,0,0,0,0,0,0,0,0,0,0,13.07199955
2438418.867,2432668.967,,0,0,0,13,13.62100029,0,0,0,0,0,0,0,0,0,0,0,13.62100029
